label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,640,47.870790367944316,30.235948544519598,0.0106,4.7265103398802916e-05,0.009485918084613146,3.288452304165539e-05,1.8374059632440445e-05,0.02836242610822029,3.5,0.2,0.00035,1.0,0.055700720267573334,0.31948439120041816
Fixed-clean VIFD,645,47.98408760897645,30.260271316491853,0.0109,5.31639968458011e-05,0.010704443656650317,3.626992319513845e-05,2.046381951505102e-05,0.03180991831397714,3.5,0.2,0.00035,1.0,0.06175020982767531,0.3250187397798004
Fixed-clean VIFD,650,48.09650275487416,30.284574092126235,0.0113,5.9497486992952274e-05,0.01201812313710761,3.983675047105118e-05,2.2674348495249443e-05,0.035496583023418855,3.5,0.2,0.00035,1.0,0.0625793502157775,0.33037062834040837
Fixed-clean VIFD,655,48.208023713519275,30.308856552373385,0.0117,6.627265075144667e-05,0.013429175760341824,4.358369900838574e-05,2.500348605308884e-05,0.03942469953334592,3.5,0.2,0.00035,1.0,0.06372825800024498,0.3355375158213554
Fixed-clean VIFD,660,48.31863860144867,30.333118371094198,0.0122,7.350046301392627e-05,0.014940533422293158,4.7509892696944884e-05,2.7450272138809612e-05,0.043598415095960345,3.5,0.2,0.00035,1.0,0.06493293243005827,0.3405382093951445
Fixed-clean VIFD,665,48.428335746957146,30.357359212660768,0.0127,8.119475531523399e-05,0.016555660181332078,5.161923941653095e-05,3.0015032139088933e-05,0.048022858082012426,3.5,0.2,0.00035,1.0,0.06712135551016493,0.34540036916211186
Fixed-clean VIFD,670,48.53710369366462,30.381578732166066,0.0132,8.936734557117217e-05,0.018277656392372145,5.591450092392961e-05,3.269727832197149e-05,0.052701912631803106,3.5,0.2,0.00035,1.0,0.06940234162007487,0.35013956810776486
Fixed-clean VIFD,675,48.64493120644999,30.40577657757462,0.0133,9.802546760444625e-05,0.02010877544044217,6.039246945188234e-05,3.549452907629748e-05,0.057637189401950874,3.5,0.2,0.00035,1.0,0.07064212830038084,0.35475494499486254
Fixed-clean VIFD,680,48.751807278710864,30.429952391887312,0.0139,0.00010717162727614317,0.02205038609552438,6.50493917018136e-05,3.840280004675398e-05,0.06282767104313577,3.5,0.2,0.00035,1.0,0.07295863380897022,0.35923476846207086
Fixed-clean VIFD,685,48.85772113942594,30.454105813785365,0.0141,0.00011681306232811548,0.024104707268362682,6.988152825522772e-05,4.141918170933921e-05,0.0682749797787492,3.5,0.2,0.00035,1.0,0.07484438913755148,0.3635855062988822
Fixed-clean VIFD,690,48.96266225978877,30.47823647661009,0.0145,0.0001269526536264521,0.026273143120092317,7.488592816851951e-05,4.4539750941551206e-05,0.07397814518215023,3.5,0.2,0.00035,1.0,0.07768975986644831,0.36780365367103357
Fixed-clean VIFD,695,49.06662035976929,30.502344008793543,0.0149,0.00013759893397508158,0.028558119269199007,8.007011940457359e-05,4.776211326278796e-05,0.07993908634789967,3.5,0.2,0.00035,1.0,0.07955325879376374,0.3719017249216248
Fixed-clean VIFD,700,49.169585414857806,30.526428031506995,0.0154,0.00014876021292647867,0.030962013003434468,8.54346351036684e-05,5.108423898480583e-05,0.08615909285136958,3.5,0.2,0.00035,1.0,0.08236426371165881,0.37589063263356903
Fixed-clean VIFD,705,49.27154766302058,30.55048816003343,0.0157,0.00016044247810443458,0.03348676167150839,9.097551076454909e-05,5.450319903845562e-05,0.09263808196881924,3.5,0.2,0.00035,1.0,0.08537444182489459,0.3797757149285524
